shortPostcode,Year,Population
AL5,2021,32296.737148606102
AL5,2022,32455.637095377246
AL5,2023,32602.012018677397
AL5,2024,32739.59250939621
AL5,2025,32870.550879433795
AL6,2011,11222
AL6,2012,11300.032528509206
AL6,2013,11375.713426881926
AL6,2014,11459.491458593517
AL6,2015,11550.292745241664
AL6,2016,11637.829467802958
AL6,2017,11716.893910526043
AL6,2018,11787.88998412036
AL6,2019,11854.050152069247
AL6,2020,11920.581647527035
AL6,2021,11985.250802964869
AL6,2022,12044.218236915456
AL6,2023,12098.537661163946
AL6,2024,12149.593490094056
AL6,2025,12198.191864054432
AL7,2011,33890
AL7,2012,34125.655176544016
AL7,2013,34354.208522280205
AL7,2014,34607.21489322173
AL7,2015,34881.431218698985
AL7,2016,35145.78868863324
AL7,2017,35384.56020564317
AL7,2018,35598.96556423445
AL7,2019,35798.7666773861
AL7,2020,35999.68918505536
AL7,2021,36194.987498884286
AL7,2022,36373.0668373788
AL7,2023,36537.10936881538
AL7,2024,36691.29597035178
AL7,2025,36838.06115423318
AL8,2011,13252
AL8,2012,13344.148197095348
AL8,2013,13433.51936669393
AL8,2014,13532.45239790423
AL8,2015,13639.679153443461
AL8,2016,13743.050802648795
AL8,2017,13836.41758174043
AL8,2018,13920.256466722776
AL8,2019,13998.384656498096
AL8,2020,14076.951344949943
AL8,2021,14153.318805996296
AL8,2022,14222.953134521798
AL8,2023,14287.098653158491
AL8,2024,14347.39020947482
AL8,2025,14404.779770312718
AL9,2011,10409
AL9,2012,10481.379307543426
AL9,2013,10551.577353449828
AL9,2014,10629.285919844939
AL9,2015,10713.508927572668
AL9,2016,10794.70387901987
AL9,2017,10868.040341709639
AL9,2018,10933.892964240671
AL9,2019,10995.26002788173
AL9,2020,11056.971517475396
AL9,2021,11116.9555879577
AL9,2022,11171.651009450452
AL9,2023,11222.035155503074
AL9,2024,11269.392143859295
AL9,2025,11314.469712434733
B1,2011,7989
B1,2012,8044.551761741226
B1,2013,8098.4293857921675
B1,2014,8158.071401060737
B1,2015,8222.713307942937
B1,2016,8285.031154720888
B1,2017,8341.317541542732
B1,2018,8391.860014537297
B1,2019,8438.959781222704
B1,2020,8486.323897887494
B1,2021,8532.362205033534
B1,2022,8574.3414270823
B1,2023,8613.011706918442
B1,2024,8649.358616321637
B1,2025,8683.956050786923
B10,2011,25908
B10,2012,26088.152089522056
B10,2013,26262.875019039115
B10,2014,26456.291633331028
B10,2015,26665.92269147398
B10,2016,26868.01691782561
B10,2017,27050.551366414962
B10,2018,27214.458537568193
B10,2019,27367.20115307521
B10,2020,27520.801044745178
B10,2021,27670.10139041292
B10,2022,27806.238289253753
B10,2023,27931.644423938287
B10,2024,28049.515963407302
B10,2025,28161.714027260932
B11,2011,44704
B11,2012,45014.85066427335
B11,2013,45316.333366185136
B11,2014,45650.07183790452
B11,2015,46011.78817352373
B11,2016,46360.49977977752
B11,2017,46675.46118126503
B11,2018,46958.28139815688
B11,2019,47221.837283737616
B11,2020,47486.872390932855
B11,2021,47744.488673653665
B11,2022,47979.391557928044
B11,2023,48195.7786138543
B11,2024,48399.16479960476
B11,2025,48592.76145880318
B12,2011,20755
B12,2012,20899.32054261349
B12,2013,21039.291763939975
B12,2014,21194.23856915955
B12,2015,21362.174828683903
B12,2016,21524.073302820387
B12,2017,21670.30236258849
B12,2018,21801.60903764196
B12,2019,21923.97174355705
B12,2020,22047.02121675491
B12,2021,22166.626306855807
B12,2022,22275.68610828554
B12,2023,22376.14945263391
B12,2024,22470.57680332402
B12,2025,22560.459110537315
B13,2011,36817
B13,2012,37073.00816272709
B13,2013,37321.30112613722
B13,2014,37596.159065321466
B13,2015,37894.05881318502
B13,2016,38181.24821922131
B13,2017,38440.641873448345
B13,2018,38673.56492116907
B13,2019,38890.62238894434
B13,2020,39108.898103457745
B13,2021,39321.063875669
B13,2022,39514.523509937295
B13,2023,39692.73401096711
B13,2024,39860.23734849339
B13,2025,40019.67829788737
B14,2011,43413
B14,2012,43714.87365533507
B14,2013,44007.64988426529
B14,2014,44331.75037354485
B14,2015,44683.02075825845
B14,2016,45021.66197520315
B14,2017,45327.52765439913
B14,2018,45602.180349368835
B14,2019,45858.125044714136
B14,2020,46115.506243458476
B14,2021,46365.682864829236
B14,2022,46593.8020245242
B14,2023,46803.940071654804
B14,2024,47001.45269875718
B14,2025,47189.45850955221
B15,2011,18221
B15,2012,18347.700294240443
B15,2013,18470.582280450508
B15,2014,18606.611465606173
B15,2015,18754.044208790623
B15,2016,18896.17632621972
B15,2017,19024.552124727772
B15,2018,19139.82742832446
B15,2019,19247.2507414769
B15,2020,19355.276973764936
B15,2021,19460.27935134761
B15,2022,19556.023925756243
B15,2023,19644.221593661405
B15,2024,19727.120208786655
B15,2025,19806.028689621802
B16,2011,23770
B16,2012,23935.285439553005
B16,2013,24095.589748439084
B16,2014,24273.04508739689
B16,2015,24465.3768093383
B16,2016,24650.7936597466
B16,2017,24818.26485949065
B16,2018,24968.645956383974
B16,2019,25108.783827721083
B16,2020,25249.708230415046
B16,2021,25386.687897565047
B16,2022,25511.59040202107
B16,2023,25626.647674734184
B16,2024,25734.79212792156
B16,2025,25837.731296433245
B17,2011,25563
B17,2012,25740.753121215545
B17,2013,25913.149379021805
B17,2014,26103.99038995064
B17,2015,26310.829927518505
B17,2016,26510.232996386294
B17,2017,26690.33675234158
B17,2018,26852.061278209654
B17,2019,27002.769919563903
B17,2020,27154.324421291534
B17,2021,27301.63663127704
B17,2022,27435.960683502926
B17,2023,27559.696866185524
B17,2024,27675.998786960823
B17,2025,27786.702782108667
B18,2011,16283
B18,2012,16396.224350536035
B18,2013,16506.036511309783
B18,2014,16627.597524530225
B18,2015,16759.34920431028
B18,2016,16886.36403709103
B18,2017,17001.085683932946
B18,2018,17104.100214884314
B18,2019,17200.097899317723
B18,2020,17296.63437592966
B18,2021,17390.46861741908
B18,2022,17476.02972301678
B18,2023,17554.84661706759
B18,2024,17628.92806979161
B18,2025,17699.44378207078
B19,2011,20068
B19,2012,20207.543466594434
B19,2013,20342.88157642724
B19,2014,20492.699571471632
B19,2015,20655.077063937773
B19,2016,20811.616624476006
B19,2017,20953.005435433668
B19,2018,21079.96579944104
B19,2019,21198.278243782355
B19,2020,21317.254723095037
B19,2021,21432.900829967828
B19,2022,21538.35070205127
B19,2023,21635.488663717522
B19,2024,21726.790425878407
B19,2025,21813.697587581923
B2,2011,616
B2,2012,620.2833752951052
B2,2013,624.437664494677
B2,2014,629.0364229632512
B2,2015,634.0207031784765
B2,2016,638.82578436701306
B2,2017,643.1658036788488
B2,2018,647.0629326517679
B2,2019,650.6946082404788
B2,2020,654.3466668041928
B2,2021,657.8964974716055
B2,2022,661.1333482391658
B2,2023,664.1150596397244
B2,2024,666.917625191404
B2,2025,669.5852956921697
B20,2011,34089
B20,2012,34326.03892927734
B20,2013,34555.93432623222
B20,2014,34810.426335055636
B20,2015,35086.25284196605
B20,2016,35352.16260273881
B20,2017,35592.33617144201
B20,2018,35808.000505139804
B20,2019,36008.97483816507
B20,2020,36211.07715046774
B20,2021,36407.52224400903
B20,2022,36586.647253449555
B20,2023,36751.653032562615
B20,2024,36906.74500836003
B20,2025,37054.37198839347
B21,2011,30326
B21,2012,30536.87279090805
B21,2013,30741.390606275287
B21,2014,30967.78987464863
B21,2015,31213.168578880654
B21,2016,31449.725221938377
B21,2017,31663.38662721554
B21,2018,31855.244311034934
B21,2019,32034.033586851892
B21,2020,32213.82632711681
B21,2021,32388.58633494142
B21,2022,32547.938179709334
B21,2023,32694.729380899822
B21,2024,32832.70113888721
B21,2025,32964.03194344276
B23,2011,42870
B23,2012,43168.09788782656
B23,2013,43457.21213780326
B23,2014,43777.25885135484
B23,2015,44124.13562542418
B23,2016,44458.54119450301
B23,2017,44760.58117485755
B23,2018,45031.79857594366
B23,2019,45284.54197283983
B23,2020,45538.70390567492
B23,2021,45785.75137436321
B23,2022,46011.01727112508
B23,2023,46218.52695901785
B23,2024,46413.5691427849
B23,2025,46599.22341935604
B24,2011,28870
B24,2012,29070.74844930144
B24,2013,29265.44703565151
B24,2014,29480.97651128095
B24,2015,29714.574189549712
B24,2016,29939.773367979986
B24,2017,30143.17654579281
B24,2018,30325.82283385803
B24,2019,30496.02814919258
B24,2020,30667.188751034177
B24,2021,30833.558250008537
B24,2022,30985.25935659858
B24,2023,31125.00287629684
B24,2024,31256.35038843481
B24,2025,31381.37578998855
B25,2011,16005
B25,2012,16116.29126882818
B25,2013,16224.228604281343
B25,2014,16343.714203777332
B25,2015,16473.21648436935
B25,2016,16598.062790250075
B25,2017,16710.82579201295
B25,2018,16812.081553720047
B25,2019,16906.44026767673
B25,2020,17001.3285750018
B25,2021,17093.560782521185
B25,2022,17177.66110157119
B25,2023,17255.132353139277
B25,2024,17327.949011669523
B25,2025,17397.2608077162
B26,2011,32826
B26,2012,33054.25661921611
B26,2013,33275.634374516674
B26,2014,33520.69743537612
B26,2015,33786.304549572524
B26,2016,34042.36233381749
B26,2017,34273.63745383424
B26,2018,34481.311407835936
B26,2019,34674.8396267889
B26,2020,34869.45403330265
B26,2021,35058.62082143332
B26,2022,35231.10923587477
B26,2023,35390.001538528566
B26,2024,35539.34734502115
B26,2025,35681.504734401235
B27,2011,24834
B27,2012,25006.683996880914
B27,2013,25174.163896202615
B27,2014,25359.562545242505
B27,2015,25560.503478464758
B27,2016,25754.220014562346
B27,2017,25929.18761129957
B27,2018,26086.300112782483
B27,2019,26232.710878318274
B27,2020,26379.94338216774
B27,2021,26523.054575016
B27,2022,26653.54800352508
B27,2023,26773.755505020978
B27,2024,26886.740753252165
B27,2025,26994.287716265175
B28,2011,30036
B28,2012,30244.856266824318
B28,2013,30447.41832915929
B28,2014,30671.652597604247
B28,2015,30914.6848062804
B28,2016,31148.9793169604
B28,2017,31360.59753132777
B28,2018,31550.62052780602
B28,2019,31727.7000862192
B28,2020,31905.773513199252
B28,2021,32078.862334508358
B28,2022,32236.69033719414
B28,2023,32382.077810614886
B28,2024,32518.73017897568
B28,2025,32648.80509969158
B29,2011,42024
B29,2012,42316.21520032711
B29,2013,42599.62404663037
B29,2014,42913.35493280466
B29,2015,43253.38641294205
B29,2016,43581.19279584311
B29,2017,43877.27229512978
B29,2018,44143.137470386195
B29,2019,44390.89320892513
B29,2020,44640.03948990162
B29,2021,44882.21170413434
B29,2022,45103.03218571868
B29,2023,45306.44686087627
B29,2024,45497.64006662916
B29,2025,45679.630626895676
B3,2011,2574
B3,2012,2591.898389625975
B3,2013,2609.2573837813293
B3,2014,2628.473624525014
B3,2015,2649.300795424349
B3,2016,2669.3791703907336
B3,2017,2687.5142510866185
B3,2018,2703.7986828663165
B3,2019,2718.973898719144
B3,2020,2734.2342862889486
B3,2021,2749.0675072920662
B3,2022,2762.5929194279433
B3,2023,2775.0522134945636
B3,2024,2786.7629338355105
B3,2025,2797.9099855708523
B30,2011,29084
B30,2012,29286.23650500461
B30,2013,29482.37830221297
B30,2014,29699.50539847922
B30,2015,29934.834628640932
B30,2016,30161.703104756834
B30,2017,30366.614016551364
B30,2018,30550.614177344192
B30,2019,30722.081146211185
B30,2020,30894.51048268368
B30,2021,31062.11320205224
